,ticker,price_usd,shares_outstanding,free_float
0,AAPL,138.27,16406000000.0,0.94
1,MSFT,258.86,7532000000.0,1.0
2,GOOGL,2244.84,302000000.0,0.994
3,GOOG,2253.69,316000000.0,0.875
4,AMZN,112.44,10086000000.0,0.86
5,TSLA,705.21,1034000000.0,0.804
6,BRK/B,267.52,2233000000.0,0.82
7,JNJ,179.66,2633000000.0,0.999
8,UNH,499.81,944000000.0,0.996
9,META,158.75,2336000000.0,0.986
10,NVDA,162.25,2490000000.0,0.96
11,V,196.64,1662000000.0,0.997
12,XOM,85.21,4234000000.0,0.999
13,JPM,113.92,2955000000.0,0.992
14,PG,142.3,2420000000.0,0.993
15,WMT,123.62,2774000000.0,0.509
16,MA,316.76,970000000.0,0.889
17,LLY,312.72,959000000.0,0.883
18,CVX,142.43,1933000000.0,1.0
19,HD,275.42,1044000000.0,0.999
20,PFE,50.09,5578000000.0,1.0
21,KO,61.88,4312000000.0,0.899
22,BAC,32.08,8080000000.0,0.879
23,ABBV,149.45,1766000000.0,0.999
24,MRK,92.0,2532000000.0,0.999
25,PEP,164.1,1382000000.0,0.999
26,VZ,52.09,4198000000.0,1.0
27,COST,475.0,443000000.0,0.998
28,TMO,540.6,393000000.0,0.998
29,AVGO,496.58,413000000.0,0.977
30,ABT,106.21,1777000000.0,0.976
31,ACN,285.83,636000000.0,0.999
32,CSCO,42.93,4222000000.0,1.0
33,MCD,243.58,746000000.0,1.0
34,DHR,255.18,713000000.0,0.888
35,ORCL,67.63,2670000000.0,0.603
36,CMCSA,39.11,4524000000.0,0.994
37,ADBE,376.64,472000000.0,0.998
38,DIS,94.3,1815000000.0,0.999
39,TMUS,135.94,1247000000.0,0.472
40,CRM,173.05,979000000.0,0.954
41,NKE,108.0,1275000000.0,0.971
42,BMY,77.69,2180000000.0,0.999
43,UPS,178.63,731000000.0,0.989
44,PM,101.57,1559000000.0,0.998
45,INTC,37.41,4038000000.0,1.0
46,NEE,77.2,1961000000.0,0.999
47,WFC,37.9,3886000000.0,1.0
48,T,20.61,7140000000.0,0.999
49,TXN,151.14,924000000.0,0.999
50,RTX,91.76,1497000000.0,0.999
51,QCOM,120.09,1128000000.0,0.999
52,AMD,82.43,1639000000.0,0.996
53,UNP,209.75,643000000.0,0.999
54,MS,73.97,1772000000.0,0.745
55,AMGN,243.09,558000000.0,0.999
56,IBM,138.44,894000000.0,0.999
57,HON,174.57,686000000.0,0.999
58,COP,87.89,1319000000.0,0.999
59,MDT,88.67,1348000000.0,0.995
60,CVS,92.37,1317000000.0,0.999
61,SCHW,62.03,1729000000.0,0.869
62,AMT,258.31,471000000.0,0.975
63,SPGI,333.74,354000000.0,0.978
64,ANTM,472.34,245000000.0,0.999
65,LOW,176.33,674000000.0,1.0
66,LMT,410.62,272000000.0,0.89
67,BX,93.35,698000000.0,1.0
68,AXP,141.65,759000000.0,0.81
69,INTU,400.75,322000000.0,0.823
70,CAT,178.67,541000000.0,0.999
71,GS,286.17,338000000.0,0.97
72,DE,297.51,310000000.0,0.898
73,BLK,624.71,153000000.0,0.936
74,NOW,485.53,200000000.0,0.997
75,C,46.35,1984000000.0,0.999
76,EL,258.56,237000000.0,0.965
77,PLD,118.24,740000000.0,0.995
78,ADP,210.58,420000000.0,0.998
79,PYPL,73.81,1175000000.0,0.999
80,SBUX,75.2,1150000000.0,0.999
81,MDLZ,61.04,1388000000.0,0.991
82,AMAT,93.28,889000000.0,0.996
83,CI,259.68,331000000.0,0.981
84,BA,133.97,585000000.0,0.915
85,CB,186.97,431000000.0,0.994
86,NFLX,181.71,443000000.0,0.973
87,ZTS,169.17,475000000.0,0.999
88,GILD,62.58,1254000000.0,1.0
89,DUK,103.41,769000000.0,0.999
90,BKNG,1835.06,41000000.0,0.997
91,ADI,145.54,526000000.0,0.996
92,MMC,154.58,509000000.0,0.998
93,CHTR,455.13,173000000.0,0.696
94,MO,42.51,1823000000.0,0.999
95,CME,208.46,359000000.0,0.997
96,SYK,200.06,377000000.0,0.924
97,MMM,130.15,571000000.0,0.997
98,CCI,171.58,432000000.0,0.995
99,ISRG,204.5,355000000.0,0.996
